variable,type,data_set
file_path,object,observations
extension,object,observations
text,object,observations
Language,object,observations
Edu,object,observations
Work,object,observations
Summaries,object,observations
Skill,object,observations
Member,object,observations
Writing,object,observations
Researching,object,observations
Honor,object,observations
Activity,object,observations
Curriculars,object,observations
candidate_name,object,observations
email,object,observations
phone,object,observations
work_dates,object,observations
greeklife,object,observations
certifications,object,observations
top_10_universities,object,observations
top_100_universities,object,observations
associate_education_level,object,observations
bachelor_education_level,object,observations
master_education_level,object,observations
doctor_education_level,object,observations
languages,object,observations
